,etp,precip,temp,date
91,0.06,0.0,14.1,2022-03-27 19:00:00
92,0.03,0.0,12.1,2022-03-27 20:00:00
93,0.0,0.0,9.9,2022-03-27 21:00:00
94,0.0,0.0,7.5,2022-03-27 22:00:00
95,0.0,0.0,6.9,2022-03-27 23:00:00
96,0.0,0.0,6.8,2022-03-28 00:00:00
97,0.0,0.0,6.8,2022-03-28 01:00:00
98,0.0,0.0,6.7,2022-03-28 02:00:00
99,0.0,0.0,6.7,2022-03-28 03:00:00
100,0.0,0.0,6.5,2022-03-28 04:00:00
101,0.0,0.0,5.8,2022-03-28 05:00:00
102,0.0,0.0,4.9,2022-03-28 06:00:00
103,0.0,0.0,4.9,2022-03-28 07:00:00
104,0.01,0.0,6.8,2022-03-28 08:00:00
105,0.04,0.0,9.6,2022-03-28 09:00:00
106,0.09,0.0,13.1,2022-03-28 10:00:00
107,0.16,0.0,14.9,2022-03-28 11:00:00
108,0.24,0.0,16.3,2022-03-28 12:00:00
109,0.26,0.0,17.6,2022-03-28 13:00:00
110,0.27,0.0,18.1,2022-03-28 14:00:00
111,0.25,0.0,18.1,2022-03-28 15:00:00
112,0.22,0.0,17.7,2022-03-28 16:00:00
113,0.17,0.0,16.9,2022-03-28 17:00:00
114,0.1,0.0,15.7,2022-03-28 18:00:00
115,0.07,0.0,13.9,2022-03-28 19:00:00
116,0.03,0.0,12.3,2022-03-28 20:00:00
117,0.01,0.0,10.5,2022-03-28 21:00:00
118,0.0,0.0,8.6,2022-03-28 22:00:00
119,0.0,0.0,7.9,2022-03-28 23:00:00
120,0.01,0.0,7.5,2022-03-29 00:00:00
121,0.01,0.0,7.3,2022-03-29 01:00:00
122,0.01,0.02,7.2,2022-03-29 02:00:00
123,0.01,0.02,7.3,2022-03-29 03:00:00
124,0.01,0.02,7.4,2022-03-29 04:00:00
125,0.0,0.0,7.2,2022-03-29 05:00:00
126,0.0,0.0,6.9,2022-03-29 06:00:00
127,0.0,0.0,6.6,2022-03-29 07:00:00
128,0.01,0.0,6.5,2022-03-29 08:00:00
129,0.03,0.0,8.8,2022-03-29 09:00:00
130,0.07,0.0,11.7,2022-03-29 10:00:00
131,0.12,0.03,13.0,2022-03-29 11:00:00
132,0.17,0.03,14.1,2022-03-29 12:00:00
133,0.18,0.03,14.8,2022-03-29 13:00:00
134,0.19,0.19,14.7,2022-03-29 14:00:00
135,0.18,0.19,14.2,2022-03-29 15:00:00
136,0.16,0.19,13.4,2022-03-29 16:00:00
137,0.12,0.01,13.0,2022-03-29 17:00:00
138,0.08,0.01,12.7,2022-03-29 18:00:00
139,0.05,0.01,11.9,2022-03-29 19:00:00
140,0.03,0.0,10.8,2022-03-29 20:00:00
141,0.01,0.0,9.4,2022-03-29 21:00:00
142,0.01,0.0,7.8,2022-03-29 22:00:00
143,0.01,0.0,7.0,2022-03-29 23:00:00
144,0.01,0.0,6.5,2022-03-30 00:00:00
145,0.01,0.0,5.7,2022-03-30 01:00:00
146,0.01,0.0,5.0,2022-03-30 02:00:00
147,0.0,0.0,4.3,2022-03-30 03:00:00
148,0.0,0.0,3.4,2022-03-30 04:00:00
149,0.0,0.0,2.8,2022-03-30 05:00:00
150,0.0,0.0,2.2,2022-03-30 06:00:00
151,0.01,0.0,2.1,2022-03-30 07:00:00
152,0.02,0.0,2.9,2022-03-30 08:00:00
153,0.05,0.0,4.2,2022-03-30 09:00:00
154,0.08,0.0,5.9,2022-03-30 10:00:00
155,0.12,0.0,6.9,2022-03-30 11:00:00
156,0.16,0.0,7.8,2022-03-30 12:00:00
157,0.17,0.0,8.6,2022-03-30 13:00:00
158,0.17,0.0,8.7,2022-03-30 14:00:00
159,0.16,0.0,8.4,2022-03-30 15:00:00
160,0.14,0.0,7.7,2022-03-30 16:00:00
161,0.11,0.0,6.8,2022-03-30 17:00:00
162,0.08,0.0,5.7,2022-03-30 18:00:00
163,0.06,0.0,4.3,2022-03-30 19:00:00
164,0.04,0.0,3.5,2022-03-30 20:00:00
165,0.03,0.0,2.7,2022-03-30 21:00:00
166,0.02,0.0,1.8,2022-03-30 22:00:00
167,0.02,0.0,1.2,2022-03-30 23:00:00
